course_name,application_count
Computer Science,106472
Data Science and Data Analytics,18527
Management Information Systems,18183
Electrical Engineering,15149
Industrial Engineering,14843
Mechanical Engineering,14372
Business Analytics,14138
Electrical and Computer Engineering,12288
Computer Engineering,9313
Engineering Management Mem,8024
Information Technology,6876
Civil Engineering,6123
Computer and Information Systems,5872
Software Engineering,3804
Cybersecurity,3218
Artificial Intelligence,2581
Chemical Engineering,2457
Electrical and Electronics Engineering,2078
Robotics Technology,1988
Construction Management,1894
Biomedical Engineering,1690
Finance ,1613
Aerospace Engineering,1556
Information Studies,1372
Civil and Environmental Engineering,1201
Information Science,1146
Automotive Engineering,1107
Human Computer Interaction,1102
Biotechnology,970
Logistics and Supply Chain Management,966
Technology Management and Entrepreneurship,941
Construction Engineering,914
Engineering Science,871
Materials Engineering,809
Mba,771
Mechatronics Robotics and Automation Engineering,730
Architecture,688
Health Information Technology,657
Computer and Information Sciences General,642
Telecommunications Engineering and Technology,634
Analytics and Information Management,593
Management Science,592
Project Management,473
Manufacturing Engineering,471
Computer Networking and Telecommunications,454
Public Health,449
Environmental Engineering,437
Computational Science,425
Engineering General,419
Computing Technology Mct,414
Energy Systems Engineering,406
Biomedical Informatics,358
Systems Engineering,340
Informatics,338
Engineering Mechanics,334
Marketing ,328
Telecommunications Systems and Networks,281
Financial Engineering,280
Aerospace and Mechanical Engineering,259
Chemical Petroleum,255
Computer Systems Engineering,246
Business Administration and Management,241
Business General,240
Operations Research,232
Embedded Systems,216
Pharmaceutical Sciences,210
Pharmacy,206
Algorithms and Machine Learning,200
Mathematics and Statistics,167
Chemical and Biomolecular Engineering,166
Analytics and Modeling,163
 Financial Management,157
Biological Biosystems Engineering,155
Health Informatics and Management Systems,153
Human Factors and Ergonomics,150
Drug Discovery and Regulatory Affairs,149
Game and Interactive Media Design,148
Financial Mathematics,145
Machine Tool Technology,142
Aeronautical Engineering,142
Environmental Mining,140
Materials Science ,140
Health Administration,139
Operations Management,137
Economics,122
Chemistry,122
Food Science,121
Statistics,111
Electrical and Power Engineering,107
Education,104
Biology General,101
Sustainable Energy,101
Biomedical Sciences,99
Engineering Design,99
Urban Community and Regional Planning,97
Mathematics and Computing,97
Product Design and Development,94
Design and Applied Arts,92
Structural Engineering,92
Electrical Electronics and Communications Engineering,87
Petroleum Engineering,87
Cellular and Molecular Biology,86
Physics,86
Communications Systems Technology,85
Building Construction Technology,83
Environmental Science,80
Computer Aided Drafting and Design,76
Public Policy Analysis,75
Pharmacology,75
Biological Science,74
Electronics Engineering,73
Health Sciences General,73
Mathematics,71
Technology and Innovation,71
Health Care,70
Civil and Construction Engineering,69
Accounting,68
Landscape Architecture,66
Engineering and Technology,66
Technology Innovation and Entrepreneurship,64
Communication General,64
Integrated Circuit Design,63
Chemical and Biological Engineering,63
Public Administration,62
Epidemiology,62
Architectural and Building Sciences Technology,62
Engineering and Industrial Management,60
Sustainability Science,60
Nanotechnology,59
Music,59
International Business Management,57
Game Design and Development,57
Intelligent Systems,56
Telecommunications Technology,56
Psychology,55
Human Resources Management,54
Computer Graphics,54
Urban Studies,54
Applied Mathematics,52
Environmental Management,51
Biochemistry and Molecular Biology,51
Network and System Administration,51
Renewable Energy,51
Pharmacology and Toxicology,50
Systems and Control,48
Geomatics and Geographic Information Systems,47
Mining and Mineral Engineering,44
Digital Communications and Multimedia,43
Agricultural Engineering,43
Family Practice Nurse Practitioner,43
Drafting and Design Technology,40
Arts and Entertainment Management,39
Library and Information Science,38
Information Technology Project Management,38
Industrial Design and Technology,38
Transportation and Highway Engineering,35
Water Resources Engineering,34
Biochemistry,34
Data Analytics and Quantitative Analysis,33
Exercise Science,33
Computational Biology,33
Instructional Design,32
Food Technology and Processing,31
International Business,31
Technical and Scientific Communication,31
Applied Economics,30
Management and Business Analytics,30
Architectural Engineering,29
Innovation Leadership Engineering Entrepreneurship,29
Finance and Investment,28
Science Technology and Society,28
Modeling Virtual Environments and Simulation,28
Automation Engineer Technology,27
Media and Communication,27
Computational Mathematics,27
Industrial and Organizational Psychology,26
International Relations,26
Design and Visual Communications,26
Process Engineering,25
Computer Forensics,25
Space Systems Operations,25
Astronomy,25
Kinesiology,25
Actuarial Science,25
Biostatistics,24
Medicinal and Pharmaceutical Chemistry,24
Nutrition Sciences,23
Environmental Engineering Technology,23
Polymer and Plastics Engineering,22
Microbiology,21
Neuroscience,21
Creative Arts and Practice,21
Mechanical and Mechatronics Engineering,20
Plant Sciences,19
Polymer Chemistry,19
Enterprise Risk Management,18
Environmental Studies,18
Ocean Engineering,18
Mental Health Counseling,17
