type_of_degree,application_count
MS,257720
Masters,24921
MSc,7459
MEng,7156
MSE,3415
BS,2584
MASc,1482
PhD,732
MBA,469
MA,386
MArch,258
MSc(Eng),245
Advanced Diploma,199
Diploma,175
Bachelors,157
BA,156
MCS,134
MPH,112
BSc (Hons),103
MFA,89
BBA,84
Graduate certificate,44
BEng,26
MDes,26
MPhil,17
BSc,16
MEd,15
Master,15
No information mentioned,10
MPA,10
MPP,10
Phd,8
MRes,8
M.S.,7
ME,7
M.S,6
MCRP,6
Graduate Certificate,6
LLM,6
MBA/MSE,5
MSEd,4
LLB,4
M.A,4
MURP,4
MM,4
MLA,3
Msc,3
Bsc(hons),3
MUD,3
MDM,3
M.U.R.P.,3
MPS,3
MIT,3
MSCS,2
PHD,2
BIT(hons),2
BASc,2
MEAE,2
BA(hons),2
BEng (Hons),2
MUP,2
M.Mus,2
Professional Master,2
MMath,2
M.eng,1
Certificate,1
MPPGA,1
MArch(Prof),1
MScR,1
MBus,1
MCom,1
Ontario College Diploma,1
Ms,1
B.A.,1
MSt,1
MSA,1
MEL,1
MS ARch,1
MEd (Counselling Psychology),1
Mdes,1
MIP,1
M.U.C.D.,1
Graduate Diploma,1
MIRHR,1
MSPH,1
BEng(hons),1
MSW,1
Bcomp,1
Professional Doctorate,1
MCMP,1
MUXD,1
MGM,1
GrDip,1
 M.Sc.,1
MSF,1
MEM,1
B.S.,1
M.Ch.E,1
MSBA,1
MIS,1
MSc ,1
MSCP,1
MEC,1
MScA,1
MSC,1
AASc,1
BSBA,1
MScBMC,1
MProfEng,1
MCP,1
BA (Hons),1
