course_name,course_bucket
Information Technology,humanities_misc
Materials Engineering,humanities_misc
Technology Management and Entrepreneurship,humanities_misc
Mechanical Engineering,humanities_misc
Construction Management,humanities_misc
Computing Technology Mct,humanities_misc
Technology and Innovation,humanities_misc
Financial Engineering,humanities_misc
Game and Interactive Media Design,humanities_misc
Biotechnology,humanities_misc
Human Resources Management,humanities_misc
Human Services,humanities_misc
Engineering Science,humanities_misc
Vocational Rehabilitation Counseling,humanities_misc
Biomedical Engineering,humanities_misc
Chemical and Biomolecular Engineering,humanities_misc
Pharmacology,humanities_misc
Food Technology and Processing,humanities_misc
Algorithms and Machine Learning,humanities_misc
Engineering General,humanities_misc
Human Computer Interaction,humanities_misc
Financial Mathematics,humanities_misc
Sustainability Science,humanities_misc
Environmental Management,humanities_misc
Aerospace Engineering,humanities_misc
Molecular Medicine,humanities_misc
Electronics Engineering,humanities_misc
Urban Education and Leadership,humanities_misc
Embedded Systems,humanities_misc
Mathematics and Statistics,humanities_misc
Health Sciences General,humanities_misc
International Business Management,humanities_misc
Environmental Science,humanities_misc
Atmospheric Sciences and Meteorology,humanities_misc
Business and Managerial Economics,humanities_misc
Operations Research,humanities_misc
Educational Psychology,humanities_misc
International Relations,humanities_misc
Engineering and Industrial Management,humanities_misc
Graphic Design and Visualisation,humanities_misc
Applied Physics,humanities_misc
Accounting,business
Educational Administration,humanities_misc
Mathematics and Computing,humanities_misc
Banking and Financial Support Services,humanities_misc
Water Resources Engineering,humanities_misc
Applied Economics,humanities_misc
Industrial Design and Technology,humanities_misc
Genetics,humanities_misc
Science Technology,humanities_misc
Medical Informatics,humanities_misc
Space Systems Operations,humanities_misc
Civil and Construction Engineering,humanities_misc
Reading and Writing General,humanities_misc
Pharmacology and Toxicology,humanities_misc
Petroleum Engineering,humanities_misc
Nursing,humanities_misc
Public Administration,humanities_misc
Materials Science ,humanities_misc
Internet Computing and Network Security,humanities_misc
Applied Mathematics,humanities_misc
Media and Communication,humanities_misc
Biochemistry and Molecular Biology,humanities_misc
Orthotics and Prosthetics,humanities_misc
Systems and Control,humanities_misc
Music Performance,humanities_misc
Kinesiology,humanities_misc
Industrial and Organizational Psychology,humanities_misc
Human Resources Development,humanities_misc
Electrical and Power Engineering,humanities_misc
Microbiology and Immunology,humanities_misc
Forensic Science,humanities_misc
Environmental Engineering Technology,humanities_misc
Digital Creative Media,humanities_misc
Plant Molecular Biology,humanities_misc
Social Work,humanities_misc
Pathology,humanities_misc
Geomatics and Geographic Information Systems,humanities_misc
Transportation Management,humanities_misc
Thermal and Fluid Power Technology,humanities_misc
Mathematical Statistics and Probability,humanities_misc
Biofabrication and Biomaterials,humanities_misc
Financial Economics,humanities_misc
Philosophy,humanities_misc
Environmental Health,humanities_misc
Geology,humanities_misc
Organizational Behavior Studies,humanities_misc
International Health,humanities_misc
Environmental Policy and Management,humanities_misc
Geological Engineering,humanities_misc
Graphic Design,humanities_misc
Canadian Studies,humanities_misc
Occupational Safety and Health Technology,humanities_misc
Cell Biology and Anatomy,humanities_misc
Quantitative Research Methods,humanities_misc
Plant Genetics,humanities_misc
Computational Mechanics With Application To Material Properties,humanities_misc
Genetic Counseling,humanities_misc
Real Estate Development,humanities_misc
Law and Business,humanities_misc
Clinical and Experimental Therapeutics,humanities_misc
Organizational Leadership,humanities_misc
