uni_name,degree_norm,course_norm,global_rank_uni,tuition_fee_usd,living_expense,uni_website_url,degree_bucket,course_bucket,program_id
"Northeastern University, Boston",MS,Computer Science,27.0,60000.0,54486,http://www.northeastern.edu,Masters (Engineering),Computer Science (Core),090851f84cfdd61299b63ec8e5c81d6364ced09a
Stevens Institute of Technology,MS,Computer Science,77.0,71370.0,64434,http://www.stevens.edu,Masters (Engineering),Computer Science (Core),88c4f36976bdc59d780d1c7158766884d4879e69
Texas State University,MS,Computer Science,No information mentioned,27972.0,38100,https://www.txst.edu/,Masters (Engineering),Computer Science (Core),82b444753d536b48992e8fdfaf53703299785d1c
Portland State University,MS,Computer Science,132.0,35955.0,38064,https://www.pdx.edu/,Masters (Engineering),Computer Science (Core),e509330807da9a9724326d723da2adfc53332ade
Troy University,MS,Computer Science,No information mentioned,31350.0,28750,https://www.troy.edu/,Masters (Engineering),Computer Science (Core),fa17593442f7ab2db3c7c52399c306c60196854f
Illinois Institute of Technology,Masters,Information Technology,No information mentioned,53400.0,55552,https://iit.edu/,Masters,IT & Systems,7df6751947a505c7f3787a16fed1bdff74cb82c7
University of Delaware,MS,Business Analytics,119.0,32070.0,46074,http://www.udel.edu,Masters (Engineering),Data & AI,e26a74068b26dd30ee97cd419439381d76056217
University of Dayton,Masters,Business Analytics,No information mentioned,40425.0,50050,https://www.udayton.edu/,Masters,Data & AI,9fd3850464e2bfc05ec3f09422475fa59b844b06
Purdue University Fort Wayne,MS,Computer Science,No information mentioned,27660.0,30474,https://www.pfw.edu/,Masters (Engineering),Computer Science (Core),d72a5ba126825639663d05e9b3fd63962d353b4f
Arizona State University,MS,Computer Science,45.0,48150.0,68832,http://www.asu.edu/,Masters (Engineering),Computer Science (Core),799676fca83960adf9b8a8f224f9cb8a7ba08419
"Northeastern University, Boston",MS,Data Science and Data Analytics,No information mentioned,60000.0,54486,http://www.northeastern.edu,Masters (Engineering),Data & AI,f0567cc684ba5da7bafa20b97a8ae92bc348c547
Florida Atlantic University,MS,Data Science and Data Analytics,No information mentioned,30810.0,41274,https://www.fau.edu/,Masters (Engineering),Data & AI,6c2b7246cb6b787f90f293eff0b47157935c996d
Florida Institute of Technology,MS,Computer Science,148.0,39300.0,42182,https://www.fit.edu/,Masters (Engineering),Computer Science (Core),0c0ef00fddbfaeb67348cf20e3b3c0063b79c38f
"Northeastern University, Boston",MS,Finance ,No information mentioned,52650.0,54486,http://www.northeastern.edu,Masters (Engineering),Business & Management,311c4777c3679dc7b545819d97fd8de71b033813
Penn State Great Valley,Masters,Software Engineering,No information mentioned,71712.0,18946,http://greatvalley.psu.edu/,Masters,Computer Science (Core),731a8bf140e6f78eb194b67fc207720ff67e5549
Roosevelt University,MA,Biomedical Sciences,No information mentioned,37700.0,53777,https://www.roosevelt.edu/,Masters (Humanities),Humanities & Misc,febba7f65d425a081c249dd9cfe03a277a5a7a63
Roosevelt University,MS,Health Informatics and Management Systems,No information mentioned,45000.0,53777,https://www.roosevelt.edu/,Masters (Engineering),IT & Systems,13ab10c703a8d5068c91f514b1457cf3fe2141e8
Webster University,MS,Business Analytics,No information mentioned,27072.0,32924,https://www.webster.edu/,Masters (Engineering),Data & AI,69cc29d8a55fcb7ea752c4278e3edb684911dd12
Stevens Institute of Technology,MS,Electrical Engineering,82.0,71370.0,64434,http://www.stevens.edu,Masters (Engineering),Electrical Engineering,f5fe708759181b9eb78a9ee055f7ef8aab4fd05b
Stevens Institute of Technology,MS,Finance ,No information mentioned,85644.0,64434,http://www.stevens.edu,Masters (Engineering),Business & Management,8dc989d45ff12faf429aedd39713e097600e0182
Trine University,MS,Information Science,No information mentioned,17250.0,17250,https://www.trine.edu/,Masters (Engineering),IT & Systems,3b7aac17d92af06fa5363a8594d9f097e39b0cbb
Northwest Missouri State University,MS,Computer Science,No information mentioned,17400.0,32567,https://www.nwmissouri.edu/,Masters (Engineering),Computer Science (Core),4a3b58a0a5bb527437fa3453ff9fed6a8085dc49
"New York Institute of Technology, NY Campus",Masters,Business Administration and Management,363.0,52920.0,32750,https://www.nyit.edu/,Masters,Business & Management,45d82776dfbc5cd517977b925dd1a7562eba00c0
Yeshiva University,MS,Data Science and Data Analytics,No information mentioned,42000.0,30566,https://www.yu.edu/,Masters (Engineering),Data & AI,d452fd39fb1cc7947c7c6b0b9ba0b93e5e0d9849
"University of Massachusetts, Boston",MS,Computer Science,No information mentioned,49890.0,19552,https://www.umb.edu/,Masters (Engineering),Computer Science (Core),08dfbc9c1e0ada222b1a193787ae5611d8a4b260
Brandeis University,Masters,Mba,No information mentioned,122234.0,82403,https://www.brandeis.edu/,Masters,Business & Management,18724bdefe83465da8db37a9288b1631900e4bbc
University of Dayton,MS,Engineering Management Mem,55.0,32550.0,50050,https://www.udayton.edu/,Masters (Engineering),Business & Management,bdc3ae69912ca2840f29bd1888e28c5280206f7e
Deakin University,Masters,Data Science and Data Analytics,No information mentioned,56760.0,66200,http://www.deakin.edu.au/,Masters,Data & AI,d4027108052a63534065683db153c76a9a5324b3
National College of Ireland,MSc,Data Science and Data Analytics,No information mentioned,18360.0,12000,https://www.ncirl.ie/,Masters (Science),Data & AI,6abee1176e42f22d31c30458105473c0f465222a
Aston University,MSc,Business Analytics,No information mentioned,29610.0,32976,http://www.aston.ac.uk/,Masters (Science),Data & AI,9c1082e31c7ff688ee3f1c3b38a931674e6b332d
University of Dayton,MS,Computer Science,No information mentioned,32550.0,50050,https://www.udayton.edu/,Masters (Engineering),Computer Science (Core),3b545afa496cd32c0090c6fd1f003440a527a39a
Trine University,MS,Business Analytics,No information mentioned,17250.0,17250,https://www.trine.edu/,Masters (Engineering),Data & AI,7616e86990273728466c1a34be2d7e7c72b3e343
"Northeastern University, Boston",MS,Mechanical Engineering,45.0,59648.0,54486,http://www.northeastern.edu,Masters (Engineering),Mechanical & Industrial Engineering,4302b8067d60294b2b7c51bd2b9c75be638cf41e
University of Houston,MS,Data Science and Data Analytics,No information mentioned,32670.0,38059,https://www.uh.edu/,Masters (Engineering),Data & AI,a190502658c1d26166aa85a16f9c418b2ba252da
Harrisburg University of Science and Technology,MS,Management Information Systems,No information mentioned,34380.0,30700,http://www.harrisburgu.edu/,Masters (Engineering),IT & Systems,2cd9b3b773cc4ea9be6415730b06c1aefb8965bc
"California State University, Northridge",MS,Engineering Management Mem,No information mentioned,36960.0,28312,https://www.csun.edu/,Masters (Engineering),Business & Management,e0ee36d2a16d22e653d53f12b6d985c2865afbc1
"California State University, East Bay",MS,Business Analytics,No information mentioned,29250.0,22924,http://www.csueastbay.edu/,Masters (Engineering),Data & AI,14197b80f887715af6fdfaaf5604eb3eb9d108b2
University of Connecticut,MS,Business Analytics,No information mentioned,44400.0,68060,http://www.uconn.edu/,Masters (Engineering),Data & AI,da918b04b60c8a5845e906da9535356b8e9d1eb6
Kent State University,MS,Computer Science,171.0,35456.0,38285,http://www.kent.edu/,Masters (Engineering),Computer Science (Core),8922095a3d6761c967a43f35945a0d1be69c53da
Pace University,MS,Cybersecurity,No information mentioned,47700.0,66800,https://www.pace.edu/,Masters (Engineering),Humanities & Misc,89302b03c5069f24bd3f9ce6c530be955478106f
Clemson University,Masters,Construction Management,No information mentioned,35058.0,50180,https://www.clemson.edu/,Masters,Civil Engineering & Architecture,b74dae1354f4f36cd95237e529391a9e170bc04b
Arizona State University,MS,Construction Management,40.0,46320.0,68832,http://www.asu.edu/,Masters (Engineering),Civil Engineering & Architecture,28891295e36afb91ff13ec8d42d218539e3d5af1
"Northeastern University, Boston",MS,Civil Engineering,31.0,59648.0,54486,http://www.northeastern.edu,Masters (Engineering),Civil Engineering & Architecture,0c1862f8704f056809ffb54644d0a1434e97a352
University of Florida,MS,Civil Engineering,No information mentioned,37650.0,53234,https://www.ufl.edu/,Masters (Engineering),Civil Engineering & Architecture,9188caf1a4f17d6ad7dd0055d7299f0b8222ff87
"California State University, East Bay",MS,Construction Management,No information mentioned,35100.0,22924,http://www.csueastbay.edu/,Masters (Engineering),Civil Engineering & Architecture,720796e3e64e38561728aa94524d62caf52bece2
"University of Maryland, Baltimore County",MS,Computer Science,77.0,38220.0,51350,http://www.umbc.edu/,Masters (Engineering),Computer Science (Core),6f536292377cda683be340b2b10decf1917832aa
University of North Carolina at Charlotte,MS,Computer Science,96.0,40740.0,39486,http://www.uncc.edu,Masters (Engineering),Computer Science (Core),98576ed0270190544dc28364add5c205310af314
University of Massachusetts Amherst,MS,Electrical and Computer Engineering,49.0,55650.0,61276,http://www.umass.edu,Masters (Engineering),Electrical Engineering,354781861d740a848e2edb8421196e8164883517
Georgia Institute of Technology,MS,Computer Science,6.0,39000.0,60512,http://www.gatech.edu/,Masters (Engineering),Computer Science (Core),df786a4af5a193496d189e638b4dbef401274885
DePaul University,MS,Computer Science,148.0,45840.0,46656,http://www.depaul.edu/,Masters (Engineering),Computer Science (Core),8a230c272421b8cacf91c2333fcd615288ca6260
Rochester Institute of Technology,MS,Computer Science,68.0,54176.0,76254,https://www.rit.edu/,Masters (Engineering),Computer Science (Core),0815fcac305bfced923750d8a953b536c3ed3c58
Virginia Tech,MEng,Computer Science,36.0,52800.0,58311,https://www.vt.edu/,Masters (Engineering),Computer Science (Core),691def31cd727e725ae72454f32a30b064405bf9
University of Illinois Urbana-Champaign,MS,Management Information Systems,No information mentioned,51984.0,60540,https://illinois.edu/,Masters (Engineering),IT & Systems,98930c2d67f825977b529e48e9be4641c79556c2
University of North Carolina at Charlotte,MS,Business Analytics,No information mentioned,36003.0,39486,http://www.uncc.edu,Masters (Engineering),Data & AI,2930849cb532f8e484f1731b1ab86293b0a4fe24
Gannon University,MS,Mechanical Engineering,No information mentioned,35700.0,46430,https://www.gannon.edu/,Masters (Engineering),Mechanical & Industrial Engineering,ac188a8a31842f0f40b4f319228f4c1588444b61
Florida Atlantic University,MS,Mechanical Engineering,166.0,30810.0,41274,https://www.fau.edu/,Masters (Engineering),Mechanical & Industrial Engineering,a5ac55fbac1431e8f0917fb1ad0591833f838547
Indiana University Bloomington,MS,Data Science and Data Analytics,No information mentioned,65406.0,54060,https://www.indiana.edu/,Masters (Engineering),Data & AI,f0ae7eaa785998f6aed61693b5a7bbf9a5708d90
