undergrad_uni,undergrad_uni_tier
Vit Pune,2
Aligarh Muslim University,2
NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,2
City Engineering College,3
Sri Venkateswara Institute of Science and Technology,3
DSC,3
Vivekanand Education Society's Institute Of Technology,2
H.K.B.K. college of engineering,3
Acme Engineering College,3
Flora Institute of technology,3
Nadimpalli Satyanarayana Raju Institute of Technology ,3
RAMDEOBABA COLLEGE OF ENGINEERING AND MANAGEMENT ,2
National University Of Sciences And Technology,2
Bhabha College of Engineering,3
"kantipur Engineering College, Dhapakhel",3
AIT Chickmagalore,3
purdue university northwest,2
"Center for Management Studies, Jain university",2
P.S.G coll,2
S R Engineering College,3
B.V.B college of Engineering and technology,2
Mewar University,3
Priyadarshini Bhagwati college of Engineering ,3
Gayatri vidya parishad college of engineering,2
JB INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
K. V. Pendharkar College,3
jamia Hamdard,2
some university ,3
Sri Venkateshwara College of Engineering,3
KL UNIVERSITY,2
Swarna Bharathi Institute Of Science And Technology,3
Ambrose Alli University ,3
L.D College of Engineering,2
NDMVP,3
Gurunanak institutions of technical campus,3
"Institute Of Engineering & Technology , Lucknow",2
Sabarmati university,3
"NDMVP KBT College of Engineering, Nashik",2
kamla raheja vidyanidhi institute of architecture,2
Srinidhi,2
st.vincent pallotti college of engg. and tech,3
long island university,2
University of Mumbai,2
College Of Engineering Munnar,2
JSPM's Bhivrabai Sawant Institute of Technology and Research,3
Indira Gandhi Delhi Technical University for Women ,2
S.I.E.S Graduate School of Technology,2
IIM Indore,1
Vignan's University,2
"Rizvi College Of Engineering, Bandra",3
PESIT Bangalore South campus ,2
JNTU College of Engineering,2
Khulna University of Engineering & Technology,2
Anurag group of institutions,3
s k somaiya,2
Annamacharya Institute of Technology,3
G.N KHALSA college,3
S.P.B. Patel Engineering College,3
"Ramakrishna Mission Residential College, Narendrapur",2
University of Alabama at Birmingham,2
KAIST,1
Pune Vidhyarthi Griha's COET,3
"Shri Ram Murti Smarak College of Engineering and Technology, Barielly",3
Velalar college of engineering and technology,3
M.V.S.R engineering college,3
Bharati Vidyapeeth College of Engineering,2
national university of mongolia,2
national institute of technology raipur,2
GCOE Amravati ,2
"AP Shah Institute Of Technology, Thane",3
Venus ,3
lahore  university of management sciences,2
Ajeenkya d y Patil School of engineering pune,3
Pvg' S College Of Engineering,3
reva institute of technology and management,3
KLE Dr MS Sheshgiri College Of Engineering And Technology,3
Bhagalpur College of Engineering Bhagalpur,3
Delhi University ,2
"Sinhgad College Of Engineering, Vadgaon, Pune",3
RAIT,2
Gandhinagar Institute of Technology,3
Stamford University Bangladesh,3
P Indra Reddy Memorial Engineering College,3
UNIVERSITY of California Berkeley,1
Sinhagad Institute of Technology and Science,3
Kelkar College,3
ASET,3
Aditya engineering college ,3
ABCD,3
"Dr. Baliram College Of Architecture, Bandra ",3
Kamineni Institute Of Medical Sciences,3
Trident Academy of Technology,3
st xaviers college of engineering mahim,3
Marathwada Mitra Mandal's College Of Engineering,3
"vardhaman college of engineering, hyderabad",3
"ims , ghaziabad",3
"SJCE, Mysore",2
Marymount University ,3
Sri Venkatesa Perumal College Of Engineering & Technology SVPCET,3
"Faculty of Engineering Shoubra, Benha University",2
"Ramjas College, Delhi University",2
jntu vizianagaram,2
SDJ International College,3
"Universal College Of Engineering & Research, Sasewadi",3
"Leelavati Awhad Institute of Technology , Badlapur",3
Medical University,3
IIIT hyderabad,1
Bundelkhand university,3
